Timestamp,"After a long day of school, your friend surprises you with one of the candies below. Which are you more excited to receive?",How delighted would you be to receive a piece of this candy?,How delighted would you be to receive a piece of this candy?,Your roomate leaves a note on the mirror that they left you candy on your desk. Which are you more excited to receive?,How delighted would you be to receive a pack of this candy?,How delighted would you be to receive a pack of this candy?,There's a bowl of candy on the table when you walk into class. Which are you more excited to receive?,How delighted would you be to receive a piece of this candy?,How delighted would you be to receive a piece of this candy?
11/9/2023 15:41:42,Option 2,3,4,Option 2,4,5,Option 2,5,4
11/9/2023 15:41:54,Option 2,4,5,Option 1,5,4,Option 2,1,1
11/9/2023 15:42:15,Option 2,2,3,Option 1,2,1,Option 2,2,2
11/9/2023 15:42:18,Option 1,3,3,Option 1,4,3,Option 1,3,4
11/9/2023 15:42:31,Option 1,3,3,Option 2,2,4,Option 1,3,4
11/9/2023 15:42:50,Option 2,5,5,Option 2,5,5,Option 1,5,5
11/9/2023 15:44:16,Option 1,3,3,Option 1,5,3,Option 2,3,3
11/9/2023 15:46:51,Option 2,3,4,Option 1,3,2,Option 2,4,3
11/9/2023 15:46:53,Option 1,3,2,Option 1,3,4,Option 1,2,4
11/9/2023 15:47:16,Option 2,5,5,Option 1,5,2,Option 2,4,2
11/9/2023 15:48:21,Option 1,5,5,Option 2,5,1,Option 2,5,5
11/9/2023 15:48:55,Option 2,4,5,Option 1,2,2,Option 2,5,3
11/9/2023 15:50:17,Option 2,5,5,Option 1,5,5,Option 2,5,5
11/9/2023 15:50:53,Option 1,3,2,Option 2,3,4,Option 2,5,5
11/9/2023 15:51:04,Option 2,5,3,Option 2,3,5,Option 2,5,1
11/9/2023 15:51:42,Option 2,5,5,Option 2,5,5,Option 2,5,5
11/9/2023 15:54:25,Option 2,5,5,Option 2,4,5,Option 2,5,5
11/9/2023 15:56:29,Option 2,3,4,Option 1,3,3,Option 2,4,4
11/9/2023 15:57:07,Option 1,4,3,Option 1,5,3,Option 2,4,2
11/9/2023 15:58:08,Option 2,2,2,Option 2,3,4,Option 1,1,1
11/9/2023 15:58:32,Option 1,5,5,Option 2,5,5,Option 2,5,5
11/9/2023 15:59:25,Option 2,5,5,Option 2,5,5,Option 2,5,4
11/9/2023 16:01:33,Option 2,5,5,Option 2,4,5,Option 1,4,5
11/9/2023 16:01:52,Option 2,3,3,Option 1,3,3,Option 2,3,3
11/9/2023 16:02:46,Option 2,4,4,Option 1,2,1,Option 2,4,4
11/9/2023 16:04:14,Option 2,3,4,Option 1,5,3,Option 2,3,2
11/9/2023 16:17:38,Option 2,5,5,Option 1,5,5,Option 1,5,5
11/9/2023 16:22:53,Option 2,4,5,Option 2,3,4,Option 2,4,3
11/9/2023 16:27:28,Option 1,3,3,Option 2,3,5,Option 1,2,3
11/9/2023 16:35:09,Option 2,4,5,Option 1,5,4,Option 2,5,4
11/9/2023 16:37:59,Option 2,2,3,Option 2,3,4,Option 2,3,3
11/9/2023 16:46:54,Option 2,3,4,Option 2,2,3,Option 1,3,3
11/9/2023 16:47:46,Option 2,4,4,Option 1,4,2,Option 2,5,2
11/9/2023 16:50:09,Option 2,3,4,Option 1,4,3,Option 2,3,2
11/9/2023 16:52:52,Option 2,5,5,Option 1,5,4,Option 2,5,5
11/9/2023 16:53:30,Option 2,2,4,Option 1,4,2,Option 2,5,4
11/9/2023 16:56:22,Option 2,3,4,Option 2,4,5,Option 1,2,3
11/9/2023 16:58:41,Option 2,3,5,Option 2,3,5,Option 2,3,3
11/9/2023 17:10:39,Option 1,5,2,Option 2,3,4,Option 2,5,5
11/9/2023 17:14:02,Option 2,3,4,Option 1,3,2,Option 2,3,3
11/9/2023 17:17:42,Option 2,3,4,Option 1,2,1,Option 1,4,5
11/9/2023 17:30:18,Option 2,3,5,Option 2,5,5,Option 2,5,1
11/9/2023 17:30:46,Option 2,3,5,Option 2,3,4,Option 2,5,2
11/9/2023 17:46:21,Option 1,3,5,Option 1,2,1,Option 2,4,2
11/9/2023 17:50:47,Option 2,4,5,Option 1,5,5,Option 2,4,4
11/9/2023 17:54:21,Option 2,1,2,Option 2,2,3,Option 2,4,3
11/9/2023 18:10:30,Option 2,4,4,Option 2,2,4,Option 1,3,4
11/9/2023 18:16:11,Option 2,4,5,Option 2,2,4,Option 1,4,5
11/9/2023 18:23:03,Option 1,2,2,Option 2,1,3,Option 1,5,5
11/9/2023 18:44:10,Option 2,5,5,Option 1,4,3,Option 2,4,3
11/9/2023 18:44:21,Option 2,1,2,Option 1,2,2,Option 2,2,1
11/9/2023 18:53:20,Option 2,5,5,Option 2,4,5,Option 1,4,4
11/9/2023 19:09:13,Option 2,5,5,Option 1,4,3,Option 2,5,5
11/9/2023 19:25:29,Option 2,4,4,Option 1,4,3,Option 2,4,3
11/9/2023 19:41:13,Option 2,5,5,Option 2,3,3,Option 2,3,3
11/9/2023 19:42:52,Option 2,4,4,Option 1,3,2,Option 2,5,4
11/9/2023 19:49:53,Option 2,2,2,Option 1,1,1,Option 2,5,3
11/9/2023 20:20:56,Option 2,2,4,Option 1,4,2,Option 2,4,2
11/9/2023 20:25:35,Option 1,4,3,Option 2,3,4,Option 2,5,3
11/9/2023 20:57:06,Option 2,4,4,Option 2,4,4,Option 1,4,4
11/9/2023 21:06:43,Option 1,3,3,Option 1,4,2,Option 1,3,3
11/9/2023 21:21:03,Option 2,4,4,Option 1,4,2,Option 2,5,4
11/9/2023 21:48:37,Option 2,5,5,Option 1,5,2,Option 2,5,4
11/9/2023 22:12:48,Option 1,4,5,Option 1,5,3,Option 2,5,5
11/10/2023 0:02:44,Option 1,5,3,Option 1,4,3,Option 2,5,3
11/10/2023 5:01:43,Option 1,4,3,Option 1,5,3,Option 1,3,4
11/10/2023 7:42:01,Option 2,3,5,Option 1,5,2,Option 2,5,4
11/10/2023 8:30:30,Option 2,4,5,Option 1,5,5,Option 2,5,5
11/10/2023 10:22:09,Option 1,4,1,Option 2,4,5,Option 2,3,3
11/10/2023 11:15:02,Option 2,3,4,Option 1,5,2,Option 2,5,5
11/10/2023 11:48:07,Option 2,5,5,Option 2,5,5,Option 2,5,5
11/10/2023 15:59:41,Option 2,5,5,Option 1,3,3,Option 2,5,4
11/10/2023 16:52:00,Option 2,4,5,Option 2,2,3,Option 2,4,3
11/11/2023 22:06:17,Option 1,4,3,Option 1,2,1,Option 2,4,3
11/14/2023 20:49:56,Option 2,3,4,Option 1,2,3,Option 2,3,2
